Year,elcc,energy cost,power cost,interconnection cost,FOM,power augmentation,energy augmentation
2024,0.92,248.468769,269.0658892,195.2765635,9.009299354,0.608127706,3.862737098
2025,0.88,238.4036781,265.264904,198.0334091,9.189485341,0.574342834,3.66430728
2026,0.88,227.8365962,278.8808958,201.2910817,9.373275048,0.550679909,3.550127924
2027,0.88,218.9860207,290.0072749,204.3608292,9.560740549,0.537791656,3.429915672
2028,0.88,209.6902876,295.3368971,207.4728503,9.75195536,0.511977656,3.303474878
2029,0.8400000000000001,199.9351307,313.2694311,210.1302581,9.946994467,0.48491598,3.170604486
2030,0.8,192.0772151,322.3158371,214.0792149,10.14593436,0.469249464,3.031097889
2031,0.76,193.5302437,324.9637178,218.1020779,10.34885304,0.465698387,3.052911648
2032,0.72,194.9028844,327.2712747,221.4085364,10.5558301,0.475012355,3.087580306
2033,0.72,196.2530186,329.5411484,224.7600125,10.76694671,0.471053918,3.095497178
2034,0.6799999999999999,197.5791971,331.7709085,228.9806556,10.98228564,0.480474997,3.129951408
2035,0.64,198.8799214,333.9580426,233.0001722,11.20193135,0.490084497,3.150543193
2036,0.6,200.1536431,336.0999536,238.5171233,11.42596998,0.485603724,3.156424207
2037,0.5599999999999999,201.3987616,338.1939579,243.2874658,11.65448938,0.495315799,3.190416468
2038,0.52,202.6136235,340.2372824,249.0447836,11.88757917,0.490362641,3.194786901
2039,0.52,203.7965203,342.2270623,254.935079,12.12533075,0.500169893,3.228369313
2040,0.48,204.9456875,344.1603384,259.7245847,12.36783737,0.494713495,3.246557309
2041,0.48,206.0593029,346.0340548,265.5498361,12.61519411,0.504607765,3.248412484
2042,0.44,207.1354845,347.8450557,271.5042077,12.867498,0.498615547,3.281211989
2043,0.44,208.1722897,349.590083,276.9342919,13.12484796,0.508587858,3.281211989
2044,0.44,209.1677129,351.2657734,283.1423449,13.38734491,0.502025434,3.313367866
2045,0.44,210.1196842,352.8686554,288.8051918,13.65509181,0.512065943,3.311359765
2046,0.4,211.0260672,354.3951463,294.9295005,13.92819365,0.50489702,3.325356234
2047,0.4,211.8846576,355.8415494,300.8280905,14.20675752,0.51499496,3.356346465
2048,0.39,212.6931812,357.2040506,306.48238,14.49089267,0.507181244,3.351018931
2049,0.39,213.4492919,358.4787152,311.8729921,14.78071053,0.517324868,3.381087533
2050,0.39,214.0624782,360.013851,318.1104519,15.07632474,0.527671366,3.392173066
2051,0.39,214.6148123,361.4670007,323.9600659,11.37846973,0.52244636,3.406034348
2052,0.39,215.1036147,362.8342709,330.0471321,11.37846973,0.524783094,3.420856685
2053,0.39,215.5261233,364.1116451,336.2480968,11.37846973,0.527119828,3.435679021
2054,0.39,215.8794908,365.2949805,342.5650813,11.37846973,0.529456562,3.450501357
2055,0.39,216.1607825,366.3800048,349.0002459,11.37846973,0.531793296,3.465323694
2056,0.39,216.3669741,367.3623119,355.555791,11.37846973,0.53413003,3.48014603
2057,0.39,216.4949491,368.2373594,362.2339579,11.37846973,0.536466765,3.494968366
2058,0.39,216.5414963,369.0004639,369.0370291,11.37846973,0.538803499,3.509790703
2059,0.39,216.5033074,369.6467975,375.9673296,11.37846973,0.541140233,3.524613039
2060,0.39,216.3769743,370.1713844,383.0272273,11.37846973,0.543476967,3.539435376
